Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,267.799988,280.000000,267.700012,278.649994,278.649994,26758306
2018-04-06,278.399994,282.950012,277.000000,280.649994,280.649994,31577015
2018-04-09,277.750000,283.450012,274.350006,280.850006,280.850006,31712527
2018-04-10,279.450012,294.450012,279.049988,288.799988,288.799988,44741783
2018-04-11,287.750000,287.899994,282.350006,284.549988,284.549988,16811454
2018-04-12,285.299988,289.899994,283.549988,286.750000,286.750000,22954325
2018-04-13,288.000000,291.100006,285.799988,288.250000,288.250000,17497198
2018-04-16,285.000000,288.950012,284.100006,287.600006,287.600006,16874313
2018-04-17,287.600006,293.250000,286.799988,291.750000,291.750000,15406113
2018-04-18,293.700012,294.899994,289.000000,290.049988,290.049988,20755245
2018-04-19,291.000000,291.000000,287.299988,289.600006,289.600006,17282341
2018-04-20,289.250000,290.149994,279.700012,282.149994,282.149994,19745690
2018-04-23,280.000000,282.799988,275.250000,279.399994,279.399994,11620499
2018-04-24,279.350006,286.600006,279.350006,284.100006,284.100006,15412234
2018-04-25,284.049988,285.649994,276.850006,278.899994,278.899994,7961352
2018-04-26,279.799988,280.399994,275.350006,278.850006,278.850006,14112673
2018-04-27,277.399994,291.700012,276.000000,287.899994,287.899994,16488361
2018-04-30,288.950012,291.000000,282.299988,284.200012,284.200012,9737559
2018-05-02,283.649994,283.750000,275.549988,276.899994,276.899994,14211445
2018-05-03,277.299988,283.649994,277.299988,281.899994,281.899994,14724116
2018-05-04,280.450012,285.600006,278.350006,282.850006,282.850006,11861951
2018-05-07,284.000000,293.000000,282.850006,289.799988,289.799988,19673100
2018-05-08,302.000000,314.500000,300.000000,309.299988,309.299988,87176185
2018-05-09,305.000000,309.799988,304.250000,306.799988,306.799988,20140490
2018-05-10,308.450012,312.899994,305.700012,306.850006,306.850006,16239286
2018-05-11,307.950012,311.850006,307.549988,310.950012,310.950012,16663775
