Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,1091.900024,1121.000000,1084.500000,1118.300049,1118.300049,1987190
2018-04-06,1116.000000,1123.000000,1102.000000,1119.199951,1119.199951,1293385
2018-04-09,1119.900024,1137.500000,1115.000000,1118.250000,1118.250000,1851094
2018-04-10,1120.000000,1134.900024,1110.400024,1113.650024,1113.650024,1198503
2018-04-11,1110.000000,1129.000000,1110.000000,1126.099976,1126.099976,883246
2018-04-12,1123.599976,1137.349976,1113.500000,1134.599976,1134.599976,1344409
2018-04-13,1138.900024,1157.050049,1137.099976,1151.099976,1151.099976,2952078
2018-04-16,1147.500000,1175.000000,1145.000000,1172.099976,1172.099976,1625382
2018-04-17,1176.000000,1177.500000,1160.599976,1164.849976,1164.849976,912582
2018-04-18,1167.500000,1167.500000,1151.150024,1153.949951,1153.949951,889610
2018-04-19,1160.000000,1165.599976,1151.099976,1153.900024,1153.900024,660729
2018-04-20,1150.849976,1164.000000,1145.050049,1152.849976,1152.849976,1218056
2018-04-23,1158.699951,1177.150024,1153.250000,1169.000000,1169.000000,1354154
2018-04-24,1172.449951,1172.449951,1153.650024,1166.000000,1166.000000,992352
2018-04-25,1164.000000,1170.500000,1150.650024,1167.849976,1167.849976,1251769
2018-04-26,1169.000000,1192.750000,1161.050049,1185.699951,1185.699951,3196902
2018-04-27,1190.000000,1207.000000,1178.449951,1188.750000,1188.750000,1816266
2018-04-30,1198.949951,1218.800049,1193.400024,1211.099976,1211.099976,3430681
2018-05-02,1232.000000,1288.400024,1223.199951,1256.849976,1256.849976,8891427
2018-05-03,1255.000000,1263.199951,1225.849976,1233.550049,1233.550049,2977641
2018-05-04,1240.199951,1240.250000,1214.099976,1233.449951,1233.449951,1914559
2018-05-07,1235.000000,1248.699951,1229.400024,1245.050049,1245.050049,2305468
2018-05-08,1247.500000,1247.500000,1225.800049,1241.849976,1241.849976,2674288
2018-05-09,1241.699951,1255.300049,1232.900024,1251.150024,1251.150024,1671216
2018-05-10,1254.500000,1260.000000,1242.900024,1247.500000,1247.500000,984467
2018-05-11,1250.000000,1272.400024,1248.050049,1267.300049,1267.300049,1416236
